,game1,game2,game3,game4,game5,game6,game7,game8,game9,game10,game11,game12,game13,game14,game15,game16,game17,game18,game19,game20,game21,game22,game23,game24,game25
home,New Orleans Pelicans,Los Angeles Lakers,Detroit Pistons,Chicago Bulls,Cleveland Cavaliers,Memphis Grizzlies,Minnesota Timberwolves,Boston Celtics,New York Knicks,Washington Wizards,Oklahoma City Thunder,Denver Nuggets,Sacramento Kings,Atlanta Hawks,Milwaukee Bucks,Los Angeles Clippers,Toronto Raptors,Minnesota Timberwolves,New York Knicks,Washington Wizards,Dallas Mavericks,Chicago Bulls,Phoenix Suns,Portland Trail Blazers,Utah Jazz
away,Toronto Raptors,Los Angeles Clippers,Indiana Pacers,Charlotte Hornets,Orlando Magic,Miami Heat,Brooklyn Nets,Philadelphia 76ers,San Antonio Spurs,Dallas Mavericks,Utah Jazz,Portland Trail Blazers,Phoenix Suns,Detroit Pistons,Houston Rockets,Golden State Warriors,Boston Celtics,Charlotte Hornets,Brooklyn Nets,Oklahoma City Thunder,New Orleans Pelicans,Memphis Grizzlies,Denver Nuggets,Sacramento Kings,Los Angeles Lakers
